match_id,team1_score,team2_score,winner,margin,toss_winner,toss_decision
1085969,269,210,Australia,59,Australia,bat
1085962,158,273,South Africa,115,India,field
1085972,206,221,Sri Lanka,15,Sri Lanka,bat
1243925,277,280,Australia,3,Australia,field
1085963,259,256,England,3,England,bat
1085954,220,219,Australia,1,New Zealand,bat
1085975,228,219,England,9,England,bat
1243935,274,275,South Africa,1,India,bat
1490429,198,202,Australia,4,Bangladesh,bat
594909,159,207,West Indies,48,New Zealand,field
1243912,140,144,New Zealand,4,New Zealand,field
1085948,205,204,Australia,1,West Indies,bat
1085966,104,101,South Africa,3,Sri Lanka,bat
1085964,182,229,West Indies,47,Sri Lanka,field
1243909,207,175,South Africa,32,Bangladesh,field
1243934,234,134,England,100,England,bat
1243914,225,218,West Indies,7,West Indies,bat
1243932,135,136,Australia,1,Australia,field
1490433,202,195,Sri Lanka,7,Sri Lanka,bat
1243918,269,128,Australia,141,New Zealand,field
1490421,221,114,Australia,107,Pakistan,field
1490416,69,73,England,4,England,field
594915,259,145,Australia,114,Australia,bat
1490425,330,331,Australia,1,Australia,field
1490428,133,34,,99,Pakistan,field
1243913,190,193,Australia,3,Australia,field
1243938,356,285,Australia,71,England,field
1243926,203,204,England,1,England,field
1490440,119,57,,62,India,field
1243922,134,136,England,2,England,field
1243919,235,236,South Africa,1,South Africa,field
1243916,223,217,South Africa,6,Pakistan,field
1085974,281,245,India,36,India,bat
1490432,288,284,England,4,England,bat
1085967,227,226,Australia,1,Australia,field
1490434,312,83,South Africa,229,Pakistan,field
1085946,246,281,India,35,England,field
1085947,206,207,South Africa,1,South Africa,field
1243920,234,225,Bangladesh,9,Pakistan,field
1243936,305,148,Australia,157,West Indies,field
1243908,259,256,West Indies,3,New Zealand,field
357962,172,169,England,3,England,field
594891,284,179,India,105,West Indies,field
1085959,290,131,Australia,159,Australia,bat
1490431,92,0,,92,New Zealand,field
1243917,317,162,India,155,India,bat
1243929,229,119,India,110,India,bat
1490438,97,98,Australia,1,Australia,field
594897,240,272,England,32,India,field
1243927,89,90,Pakistan,1,Pakistan,field
594912,266,251,England,15,England,bat
1085949,377,107,England,270,Pakistan,field
594901,144,282,Sri Lanka,138,Sri Lanka,bat
1085952,262,257,Australia,5,Australia,field
1085971,265,79,India,186,New Zealand,field
1243921,131,132,Australia,1,West Indies,bat
1085953,206,204,England,2,Sri Lanka,bat
1085958,232,216,India,16,India,bat
1490424,253,164,England,89,Sri Lanka,field
1085957,373,305,England,68,England,bat
1243937,293,156,England,137,South Africa,field
1085960,151,150,New Zealand,1,New Zealand,field
1085956,51,48,South Africa,3,South Africa,field
1085955,169,74,India,95,India,bat
1490437,18,0,,18,Sri Lanka,field
1490422,251,252,South Africa,1,South Africa,field
1243915,260,198,New Zealand,62,India,field
1490426,232,235,South Africa,3,Bangladesh,bat
1490414,326,237,Australia,89,Australia,bat
1490420,178,182,England,4,England,field
1490427,258,0,,258,Sri Lanka,bat
1490435,244,248,Australia,4,Australia,field
594907,132,131,Australia,1,Australia,field
1490418,247,159,India,88,Pakistan,field
1085968,284,209,England,75,England,bat
1490419,231,234,South Africa,3,New Zealand,bat
1490415,129,131,Bangladesh,2,Pakistan,bat
1085951,186,183,India,3,India,field
1243910,310,298,Australia,12,England,field
1085970,220,128,England,92,West Indies,field
1243931,105,107,England,2,England,field
1085973,218,221,England,3,South Africa,bat
1243923,228,229,South Africa,1,New Zealand,bat
1490436,340,271,India,69,New Zealand,field
1490423,227,127,New Zealand,100,New Zealand,bat
1490413,269,211,India,58,Sri Lanka,field
1243911,244,137,India,107,India,bat
1085965,117,285,West Indies,168,Pakistan,field
1490430,105,125,South Africa,20,Sri Lanka,bat
594914,222,220,England,2,England,field
1085961,147,144,New Zealand,3,Pakistan,bat
594904,147,145,Australia,2,England,field
1490439,168,172,England,4,New Zealand,bat
1085945,189,188,New Zealand,1,New Zealand,field
1243930,61,0,,61,West Indies,field
1243924,140,136,West Indies,4,Bangladesh,field
1243928,271,272,Australia,1,Australia,field
1490441,319,194,South Africa,125,England,field
1243933,265,194,New Zealand,71,Pakistan,field
594894,238,244,Sri Lanka,6,Sri Lanka,field
